ID,UNCode,CountryName,SDGI_Rank,SDGI_Score,GeometricRank,GeometricScore,UNReg,UnRegSub,SDGIRegion,SDG1_190DAY_im,SDG1_OECDPOV,SDG2_CRLYLD,SDG2_NUE,SDG2_OBESITY,SDG2_STUNTING,SDG2_UNDERNSH_im,SDG2_WASTING,SDG3_FERTILITY,SDG3_HALE,SDG3_MATMORT,SDG3_NEONAT,SDG3_PHYS,SDG3_SMOKE,SDG3_SWB,SDG3_TB,SDG3_TRAFFIC,SDG3_U5MORT,SDG3_VAC,SDG4_LITERACY,SDG4_PISA,SDG4_PRIMARY,SDG4_SCHLYRS,SDG4_TERTIARY,SDG4_UPSEC,SDG5_CONTRA,SDG5_EDAT,SDG5_LFPR,SDG5_PARL,SDG5_PAYGAP,SDG6_FRESHWAT,SDG6_IMPSAN,SDG6_IMPWAT,SDG7_CO2TWH,SDG7_ELECAC,SDG7_NSFUELAC,SDG7_REN,SDG8_ADJGROWTH,SDG8_ATMS,SDG8_CLABOR_im,SDG8_EMPOP,SDG8_UNEMP,SDG8_YNEET,SDG9_INFRQUAL,SDG9_INTUSE,SDG9_LOGPERF,SDG9_MOBUSE,SDG9_PATENTS,SDG9_RDRES,SDG9_RD_im,SDG10_GINI,SDG10_JUSTICE,SDG10_PALMA,SDG11_PIPEDWAT,SDG11_PM25,SDG11_ROOMS,SDG12_MSW,SDG12_MSWRECYCL,SDG12_WASTEWAT,SDG13_CCVM,SDG13_CO2pCAP,SDG14_BIODIV,SDG14_CLEANWAT,SDG14_CPMA,SDG14_FISH,SDG14_FISHSTOCKS,SDG15_CPTA,SDG15_FORCHG,SDG15_REDLIST,SDG16_CPI,SDG16_GOVEFF,SDG16_HOMICIDE,SDG16_PRISON,SDG16_PRS,SDG16_SAFE,SDG16_U5REG,SDG17_GOVREV,SDG17_GOVSPD,SDG17_ODA
TJK,762,Tajikistan,72,60.17,71,54.74,Asia,Central Asia,Europe & C. Asia,4.739999771,,3.153300047,0.771887366,13.6,26.8,33.20000076,9.9,54,60,32,20.5,1.918,,4.785999775,91,18.8,44.79999924,97,99.87011,,95.62497,11.24404,,,45.41120381,85.47452685,,19,,51.07,95,73.80000305,0.192982456,100,65.54936,,-1.862525345,10.41371326,10,,10.92651749,,3.761042325,17.49,2.364091,0.6,,,0.121480003,30.82999992,,,82.5553748,19.61576843,,0.89,,2.25,0.22,0.358947635,,,,,,5.555555556,0.561657677,0.981729479,26,4.059564619,1.6,130,4.200852744,84.18811718,88.4,26.939,10.89150238,
BIH,70,Bosnia and Herzegovina,73,59.90,92,49.66,Europe,Southern Europe,Europe & C. Asia,0.059999999,,3.977399826,0.7763039,17.9,8.9,,2.3,11,68,11,4,1.93,,4.948999882,42,17.7,5.400000095,86,99.68309,,98.4,13.6,,,74.28571429,76.16834182,58.77034439,21.39999962,,0.8773,94.80000305,99.90000153,1.228571429,100,54.73459,,-2.369598542,43.97342106,5.300000191,,30.25665474,,3.059406042,60.8,2.554351,,,,0.021709999,36.20999908,,,93.1229102,13.62792683,,,,3.179546173,0.04,6.196651936,74.77,63.43,0,64,,12,0.807273482,0.903267325,38,2.53633299,1.3,78,3.135922432,72.35394306,99.5,45.29,,
OMN,512,Oman,74,59.88,76,53.96,Asia,Western Asia,MENA,0,,11.53770065,0.943256302,30.9,9.8,5,7.1,13.5,66,17,5.2,2.429,,6.853000164,9.6,25.4,11.60000038,99,97.74372549,,93.73292,13.63765,,,62.67605634,82.27738395,,1.200000048,,84.71,96.69999695,93.40000153,2.209923664,97.6978302,95,,-2.879065326,,0,,6.336513996,,4.893687048,70.22,2.884615,67.3,,,0.132489994,,,,84.5218107,30.35329628,,0.7,,13.4,0.04,20.20389366,90.14,56.09,5.555555556,84,17.6,3.333333333,,0.888738473,45,4.173837,1.1,61,5.085097806,,,,6.931738853,
PRY,600,Paraguay,75,59.33,78,53.64,LAC,South America,LAC,2.190000057,,3.27670002,0.28115092,16.3,10.9,10.39999962,2.6,63,65,132,10.9,1.227,,5.877999783,43,20.7,20.5,87,98.61044862,,80.61808,11.91154,,,18.58902576,95.90435004,66.98912161,15,,0.6222,88.59999847,98,0.081125828,98.19999695,50.86099,,-1.042184202,23.33701913,27.60000038,,4.938370705,,2.545981737,43,2.4553,4.9,,,0.05483,52.41999817,,,92.9306005,14.12626171,,0.21,,0.155,0.13,0.84191525,,,,,,13.79310345,18.35874235,0.947796191,27,2.933365933,9.7,118,3.620149674,41.68505476,76.1,22.113,14.02660179,
CHN,156,China,76,59.07,69,55.80,Asia,Eastern Asia,East & South Asia,11.18000031,,5.886399746,0.758297018,6.9,9.4,9.300000191,2.3,6.2,68,27,5.5,1.491,,5.139999866,68,18.8,10.69999981,99,99.64229029,,98.3,13.07282,,,5.411163187,83.60755637,,23.60000038,,19.51,76.5,95.5,,100,54.31266,,3.509179281,55.03088811,,,4.617517948,,4.475762133,49.3,3.669272,21.4,,,1.983049989,42.06000137,,,87.1542813,54.35615158,,1.02,,18.17991224,0.34,6.710301876,78.84,34.74,3.529411765,37,14.86,31.04761905,4.208052975,0.747581733,37,4.006861266,1,121,4.447523909,74.97979077,,28.189,,
JAM,388,Jamaica,77,59.05,72,54.70,LAC,Caribbean,LAC,1.700000048,,1.139000058,1.063601147,27.2,5.7,8.100000381,3,45.7,63,89,11.6,0.411,,5.709000111,4.7,11.5,15.69999981,92,95.87227,,92.1,12.35561,,,16.88089117,106.0702875,79.0598325,12.69999981,,7.5,81.80000305,93.80000305,1.785714286,92.63343811,89.14409,,-3.93589856,32.50030884,3.299999952,,13.71552086,,3.982848152,40.5,2.842107,30.8,,,,45.50999832,,,90.1919771,11.13467884,,0.18,,10,0.1,2.87265563,77.32,61.49,16.66666667,3,30.35,8.333333333,4.692183924,0.713841553,41,3.204617537,39.3,152,4.508160909,65.23140775,98.1,27.201,,
TTO,780,Trinidad and Tobago,78,59.05,97,48.51,LAC,Caribbean,LAC,0,,1.345800042,1.28166471,31.1,5.3,7.400000095,5.2,35.5,60,63,13.2,1.175,,6.168000221,22,14.1,20.39999962,92,99.57905,,95.18178,12.34507333,,,36.39143731,98.25489705,71.84873689,31,,8.755,91.5,95.09999847,2.421052632,99.82779694,95,,-2.306148173,40.84317632,0.699999988,,3.823844194,,4.344140918,65.1,,18.9,,,0.043480001,,,,83.5203292,9.167360306,,14.4,,5.250644898,0.04,37.1400528,87.4,67.56,0,25,22.34,14.28571429,4.430033765,0.795894446,39,3.20767521,28.3,281,4.02535853,57.13145047,96.6,,,
IRN,364,"Iran, Islamic Rep.",79,58.55,77,53.92,Asia,Southern Asia,East & South Asia,0.079999998,,1.963400006,0.778387584,26.1,6.8,5,4,37.7,64,25,9.5,0.89,,4.68599987,22,32.1,15.5,99,98.03424627,,98.46352,15.09423,,,28.36166924,90.31505251,19.2,3.099999905,,67.85,90,96.19999695,1.94489645,100,95,,-4.27965919,56.58696918,11.39999962,,10.49743271,,3.929050417,39.35,2.42,1.2,,,0.74879998,38.27999878,,,94.330583,31.88947487,,0.16,,2.774175359,0.17,7.802145004,76.87,62.01,28.57142857,58,35.3568599,27.77777778,0.201827968,0.839698284,27,3.145049375,4.1,284,3.947152859,55.38447654,98.6,14.083,11.11754513,
BWA,72,Botswana,80,58.42,70,55.17,Africa,Southern Africa,Africa,18.23999977,,0.398299992,,22.4,31.4,24.10000038,7.2,39,54,129,21.9,0.399,,4.331999779,385,23.6,43.59999847,95,96.0374,,90.33255,12.49301,,,25.04684572,95.80573951,79.78883724,9.5,,1.585,63.40000153,96.19999695,6.111111111,53.24000168,62.59297,,0.103665291,30.28354068,9,,18.60749626,,3.800518193,18.5,2.233136,74.1,,,0.532859981,,,,96.4783516,9.699032784,,1.03,,0.95,0.05,2.323344946,,,,,,36.36363636,2.457037562,0.978611544,63,4.087369334,18.4,205,4.892110668,40.31296397,72.2,37.824,15.44970703,
PER,604,Peru,81,58.38,81,53.35,LAC,South America,LAC,3.700000048,,4.006599903,0.815639083,21.1,17.5,7.5,0.4,65,67,68,8.2,1.132,,5.823999882,120,13.9,16.89999962,88,98.69816345,375,91.83842,13.0655,,,36.52849741,88.83287248,77.77777723,22.29999924,,0.7213,76.19999695,86.69999695,1.048387097,91.19999695,63.6029,,-0.521414519,55.48117828,33.5,,3.515837431,,3.152927609,40.2,2.720363,2.9,,,,48.13999939,,,86.4449471,12.8967762,,1,,20.9755,0.11,1.783233166,70.99,54.52,50,73,6.11,23.23943662,2.49763695,0.718766716,36,2.80518837,9.6,202,3.753741906,40.38347458,95.6,22.267,,
